video,label,id,t_start,t_end,frames
1CM1_1_R_#217,D0X,1,1,28,28
1CM1_1_R_#217,G10,13,29,72,44
1CM1_1_R_#217,B0A,2,73,235,163
1CM1_1_R_#217,G07,10,236,260,25
1CM1_1_R_#217,B0A,2,261,448,188
1CM1_1_R_#217,G11,14,449,509,61
1CM1_1_R_#217,B0B,3,510,756,247
1CM1_1_R_#217,G06,9,757,788,32
1CM1_1_R_#217,B0B,3,789,1064,276
1CM1_1_R_#217,G04,7,1065,1101,37
1CM1_1_R_#217,B0B,3,1102,1353,252
1CM1_1_R_#217,D0X,1,1354,1883,530
1CM1_1_R_#217,G03,6,1884,1938,55
1CM1_1_R_#217,B0A,2,1939,2168,230
1CM1_1_R_#217,G09,12,2169,2194,26
1CM1_1_R_#217,B0A,2,2195,2407,213
1CM1_1_R_#217,D0X,1,2408,2860,453
1CM1_1_R_#217,G02,5,2861,2906,46
1CM1_1_R_#217,B0B,3,2907,3151,245
1CM1_1_R_#217,D0X,1,3152,3387,236
1CM1_1_R_#217,G08,11,3388,3414,27
1CM1_1_R_#217,B0A,2,3415,3549,135
1CM1_1_R_#217,G01,4,3550,3587,38
1CM1_1_R_#217,B0B,3,3588,3755,168
1CM1_1_R_#217,G05,8,3756,3798,43
1CM1_1_R_#217,D0X,1,3799,3854,56
1CM1_1_R_#218,D0X,1,1,19,19
1CM1_1_R_#218,G01,4,20,49,30
1CM1_1_R_#218,B0B,3,50,239,190
1CM1_1_R_#218,G10,13,240,287,48
1CM1_1_R_#218,B0B,3,288,500,213
1CM1_1_R_#218,G04,7,501,539,39
1CM1_1_R_#218,B0B,3,540,728,189
1CM1_1_R_#218,D0X,1,729,1040,312
1CM1_1_R_#218,G02,5,1041,1074,34
1CM1_1_R_#218,B0B,3,1075,1322,248
1CM1_1_R_#218,G09,12,1323,1358,36
1CM1_1_R_#218,B0A,2,1359,1584,226
1CM1_1_R_#218,D0X,1,1585,1905,321
1CM1_1_R_#218,G07,10,1906,1945,40
1CM1_1_R_#218,B0B,3,1946,2195,250
1CM1_1_R_#218,D0X,1,2196,2490,295
1CM1_1_R_#218,G11,14,2491,2543,53
1CM1_1_R_#218,B0A,2,2544,2779,236
1CM1_1_R_#218,G06,9,2780,2824,45
1CM1_1_R_#218,B0A,2,2825,3021,197
1CM1_1_R_#218,G08,11,3022,3054,33
1CM1_1_R_#218,B0A,2,3055,3275,221
1CM1_1_R_#218,G03,6,3276,3315,40
1CM1_1_R_#218,B0A,2,3316,3547,232
1CM1_1_R_#218,G05,8,3548,3597,50
1CM1_1_R_#218,D0X,1,3598,3655,58
1CM1_1_R_#219,D0X,1,1,21,21
1CM1_1_R_#219,G08,11,22,61,40
1CM1_1_R_#219,B0A,2,62,275,214
1CM1_1_R_#219,G01,4,276,304,29
1CM1_1_R_#219,B0B,3,305,577,273
1CM1_1_R_#219,G03,6,578,625,48
1CM1_1_R_#219,B0B,3,626,842,217
1CM1_1_R_#219,G11,14,843,889,47
1CM1_1_R_#219,B0A,2,890,1130,241
1CM1_1_R_#219,D0X,1,1131,1500,370
1CM1_1_R_#219,G06,9,1501,1566,66
1CM1_1_R_#219,B0A,2,1567,1829,263
1CM1_1_R_#219,G04,7,1830,1872,43
1CM1_1_R_#219,B0A,2,1873,2086,214
1CM1_1_R_#219,G05,8,2087,2131,45
1CM1_1_R_#219,B0A,2,2132,2381,250
1CM1_1_R_#219,G02,5,2382,2415,34
1CM1_1_R_#219,B0B,3,2416,2681,266
1CM1_1_R_#219,D0X,1,2682,3016,335
1CM1_1_R_#219,G07,10,3017,3053,37
1CM1_1_R_#219,B0B,3,3054,3352,299
1CM1_1_R_#219,D0X,1,3353,3598,246
1CM1_1_R_#219,G09,12,3599,3639,41
1CM1_1_R_#219,B0B,3,3640,3817,178
1CM1_1_R_#219,G10,13,3818,3864,47
1CM1_1_R_#219,D0X,1,3865,3921,57
1CM1_1_R_#220,D0X,1,1,25,25
1CM1_1_R_#220,G07,10,26,68,43
1CM1_1_R_#220,B0B,3,69,307,239
1CM1_1_R_#220,G03,6,308,344,37
1CM1_1_R_#220,B0B,3,345,572,228
1CM1_1_R_#220,G06,9,573,611,39
1CM1_1_R_#220,B0A,2,612,883,272
1CM1_1_R_#220,G09,12,884,918,35
1CM1_1_R_#220,B0B,3,919,1160,242
1CM1_1_R_#220,D0X,1,1161,1457,297
1CM1_1_R_#220,G05,8,1458,1507,50
1CM1_1_R_#220,B0A,2,1508,1761,254
1CM1_1_R_#220,G02,5,1762,1788,27
1CM1_1_R_#220,B0A,2,1789,2014,226
1CM1_1_R_#220,D0X,1,2015,2372,358
1CM1_1_R_#220,G01,4,2373,2405,33
1CM1_1_R_#220,B0B,3,2406,2644,239
1CM1_1_R_#220,G11,14,2645,2689,45
1CM1_1_R_#220,B0B,3,2690,2915,226
1CM1_1_R_#220,D0X,1,2916,3227,312
1CM1_1_R_#220,G04,7,3228,3267,40
1CM1_1_R_#220,B0A,2,3268,3482,215
1CM1_1_R_#220,G08,11,3483,3514,32
1CM1_1_R_#220,B0A,2,3515,3789,275
1CM1_1_R_#220,G10,13,3790,3836,47
1CM1_1_R_#220,D0X,1,3837,3889,53
1CM1_2_R_#221,D0X,1,1,75,75
1CM1_2_R_#221,G09,12,76,128,53
1CM1_2_R_#221,D0X,1,129,144,16
1CM1_2_R_#221,B0A,2,145,348,204
1CM1_2_R_#221,D0X,1,349,375,27
1CM1_2_R_#221,G11,14,376,423,48
1CM1_2_R_#221,D0X,1,424,457,34
1CM1_2_R_#221,B0A,2,458,592,135
1CM1_2_R_#221,D0X,1,593,649,57
1CM1_2_R_#221,G10,13,650,691,42
1CM1_2_R_#221,D0X,1,692,728,37
1CM1_2_R_#221,B0B,3,729,907,179
1CM1_2_R_#221,D0X,1,908,936,29
1CM1_2_R_#221,G03,6,937,988,52
1CM1_2_R_#221,D0X,1,989,1025,37
1CM1_2_R_#221,B0B,3,1026,1172,147
1CM1_2_R_#221,D0X,1,1173,1391,219
1CM1_2_R_#221,G06,9,1392,1456,65
1CM1_2_R_#221,D0X,1,1457,1518,62
1CM1_2_R_#221,B0A,2,1519,1674,156
1CM1_2_R_#221,D0X,1,1675,1750,76
1CM1_2_R_#221,G02,5,1751,1788,38
1CM1_2_R_#221,D0X,1,1789,1883,95
1CM1_2_R_#221,B0B,3,1884,2045,162
1CM1_2_R_#221,D0X,1,2046,2106,61
1CM1_2_R_#221,G04,7,2107,2173,67
1CM1_2_R_#221,D0X,1,2174,2228,55
1CM1_2_R_#221,B0A,2,2229,2363,135
1CM1_2_R_#221,D0X,1,2364,2650,287
1CM1_2_R_#221,G05,8,2651,2710,60
1CM1_2_R_#221,D0X,1,2711,2729,19
1CM1_2_R_#221,B0A,2,2730,2833,104
1CM1_2_R_#221,D0X,1,2834,2995,162
