video,label,id,t_start,t_end,frames
1CM1_4_R_#229,D0X,1,1,17,17
1CM1_4_R_#229,G11,14,18,55,38
1CM1_4_R_#229,B0B,3,56,284,229
1CM1_4_R_#229,G04,7,285,308,24
1CM1_4_R_#229,B0B,3,309,502,194
1CM1_4_R_#229,G05,8,503,544,42
1CM1_4_R_#229,B0B,3,545,857,313
1CM1_4_R_#229,G03,6,858,899,42
1CM1_4_R_#229,B0A,2,900,1122,223
1CM1_4_R_#229,D0X,1,1123,1432,310
1CM1_4_R_#229,G02,5,1433,1457,25
1CM1_4_R_#229,B0A,2,1458,1707,250
1CM1_4_R_#229,D0X,1,1708,2042,335
1CM1_4_R_#229,G08,11,2043,2077,35
1CM1_4_R_#229,B0A,2,2078,2350,273
1CM1_4_R_#229,G06,9,2351,2391,41
1CM1_4_R_#229,B0B,3,2392,2603,212
1CM1_4_R_#229,G10,13,2604,2646,43
1CM1_4_R_#229,B0B,3,2647,2794,148
1CM1_4_R_#229,D0X,1,2795,2993,199
1CM1_4_R_#229,G09,12,2994,3029,36
1CM1_4_R_#229,B0A,2,3030,3232,203
1CM1_4_R_#229,G07,10,3233,3277,45
1CM1_4_R_#229,B0A,2,3278,3645,368
1CM1_4_R_#229,G01,4,3646,3676,31
1CM1_4_R_#229,D0X,1,3677,3751,75
1CM1_4_R_#230,D0X,1,1,24,24
1CM1_4_R_#230,G10,13,25,65,41
1CM1_4_R_#230,B0B,3,66,347,282
1CM1_4_R_#230,G11,14,348,381,34
1CM1_4_R_#230,B0A,2,382,579,198
1CM1_4_R_#230,G03,6,580,616,37
1CM1_4_R_#230,B0B,3,617,860,244
1CM1_4_R_#230,G09,12,861,901,41
1CM1_4_R_#230,B0A,2,902,1149,248
1CM1_4_R_#230,G08,11,1150,1208,59
1CM1_4_R_#230,B0B,3,1209,1542,334
1CM1_4_R_#230,D0X,1,1543,1794,252
1CM1_4_R_#230,G07,10,1795,1837,43
1CM1_4_R_#230,B0B,3,1838,2116,279
1CM1_4_R_#230,D0X,1,2117,2414,298
1CM1_4_R_#230,G02,5,2415,2444,30
1CM1_4_R_#230,B0B,3,2445,2725,281
1CM1_4_R_#230,D0X,1,2726,2807,82
1CM1_4_R_#230,G04,7,2808,2864,57
1CM1_4_R_#230,B0A,2,2865,2973,109
1CM1_4_R_#230,G01,4,2974,3006,33
1CM1_4_R_#230,B0A,2,3007,3223,217
1CM1_4_R_#230,G06,9,3224,3276,53
1CM1_4_R_#230,B0A,2,3277,3583,307
1CM1_4_R_#230,G05,8,3584,3632,49
1CM1_4_R_#230,D0X,1,3633,3684,52
1CM1_4_R_#231,D0X,1,1,22,22
1CM1_4_R_#231,G07,10,23,73,51
1CM1_4_R_#231,B0B,3,74,281,208
1CM1_4_R_#231,G08,11,282,333,52
1CM1_4_R_#231,B0A,2,334,538,205
1CM1_4_R_#231,G05,8,539,565,27
1CM1_4_R_#231,B0B,3,566,804,239
1CM1_4_R_#231,G09,12,805,843,39
1CM1_4_R_#231,B0B,3,844,1080,237
1CM1_4_R_#231,D0X,1,1081,1291,211
1CM1_4_R_#231,G06,9,1292,1325,34
1CM1_4_R_#231,B0A,2,1326,1715,390
1CM1_4_R_#231,G03,6,1716,1750,35
1CM1_4_R_#231,B0A,2,1751,1958,208
1CM1_4_R_#231,G01,4,1959,1988,30
1CM1_4_R_#231,B0B,3,1989,2177,189
1CM1_4_R_#231,D0X,1,2178,2431,254
1CM1_4_R_#231,G10,13,2432,2468,37
1CM1_4_R_#231,B0A,2,2469,2679,211
1CM1_4_R_#231,D0X,1,2680,3052,373
1CM1_4_R_#231,G04,7,3053,3090,38
1CM1_4_R_#231,B0B,3,3091,3325,235
1CM1_4_R_#231,G11,14,3326,3378,53
1CM1_4_R_#231,B0A,2,3379,3661,283
1CM1_4_R_#231,G02,5,3662,3689,28
1CM1_4_R_#231,D0X,1,3690,3747,58
1CM1_4_R_#232,D0X,1,1,9,9
1CM1_4_R_#232,G05,8,10,37,28
1CM1_4_R_#232,B0A,2,38,318,281
1CM1_4_R_#232,G11,14,319,375,57
1CM1_4_R_#232,B0A,2,376,568,193
1CM1_4_R_#232,G02,5,569,604,36
1CM1_4_R_#232,B0B,3,605,813,209
1CM1_4_R_#232,G04,7,814,845,32
1CM1_4_R_#232,B0B,3,846,1083,238
1CM1_4_R_#232,D0X,1,1084,1393,310
1CM1_4_R_#232,G03,6,1394,1421,28
1CM1_4_R_#232,B0B,3,1422,1684,263
1CM1_4_R_#232,D0X,1,1685,1922,238
1CM1_4_R_#232,G01,4,1923,1960,38
1CM1_4_R_#232,B0A,2,1961,2283,323
1CM1_4_R_#232,G08,11,2284,2337,54
1CM1_4_R_#232,B0B,3,2338,2705,368
1CM1_4_R_#232,D0X,1,2706,2928,223
1CM1_4_R_#232,G07,10,2929,2980,52
1CM1_4_R_#232,B0A,2,2981,3289,309
1CM1_4_R_#232,G10,13,3290,3329,40
1CM1_4_R_#232,B0A,2,3330,3541,212
1CM1_4_R_#232,G06,9,3542,3567,26
1CM1_4_R_#232,B0B,3,3568,3766,199
1CM1_4_R_#232,G09,12,3767,3809,43
1CM1_4_R_#232,D0X,1,3810,3858,49
1CM42_11_R_#205,D0X,1,1,34,34
1CM42_11_R_#205,G01,4,35,76,42
1CM42_11_R_#205,B0B,3,77,302,226
1CM42_11_R_#205,G07,10,303,361,59
1CM42_11_R_#205,B0B,3,362,586,225
1CM42_11_R_#205,G11,14,587,629,43
1CM42_11_R_#205,B0B,3,630,944,315
1CM42_11_R_#205,G04,7,945,987,43
