name,t_start,t_end,person,action
s03s06/01/002,1,26,8,0
s01s07/02/002,1,17,2,1
s06s02/05/001,1,28,4,4
s03s05/08/002,1,20,7,7
s05s03/03/001,1,25,7,2
s06s04/02/001,1,17,10,1
s07s03/04/001,1,32,12,3
s04s02/08/002,1,23,9,7
s02s01/01/001,1,19,0,0
s01s07/08/002,1,34,2,7
s06s03/05/001,1,32,8,4
s07s01/07/002,1,34,2,6
s03s05/07/001,1,28,7,6
s03s06/03/001,1,16,8,2
s02s03/08/001,1,19,3,7
s03s02/06/001,1,26,3,5
s01s03/03/002,1,19,1,2
s02s06/01/002,1,21,4,0
s07s01/07/001,1,42,2,6
s01s03/02/001,1,21,1,1
s02s03/06/001,1,35,3,5
s02s01/07/001,1,24,0,6
s07s01/05/001,1,40,2,4
s06s04/04/001,1,30,10,3
s02s01/07/002,1,24,0,6
s01s02/02/001,1,17,0,1
s07s01/03/001,1,25,2,2
s01s03/06/001,1,23,1,5
s03s02/05/001,1,29,3,4
s06s02/04/001,1,22,4,3
s03s06/02/002,1,17,8,1
s06s02/04/002,1,24,4,3
s04s03/03/001,1,22,6,2
s07s03/03/002,1,18,12,2
s06s04/05/001,1,36,10,4
s04s02/04/001,1,29,9,3
s03s05/01/001,1,21,7,0
s04s06/08/002,1,28,10,7
s01s03/04/001,1,22,1,3
s05s03/02/001,1,17,7,1
s03s06/02/001,1,17,8,1
s04s03/02/001,1,13,6,1
s02s07/03/002,1,19,5,2
s02s06/01/001,1,21,4,0
s03s04/01/002,1,23,6,0
s03s05/05/001,1,38,7,4
s03s04/01/001,1,24,6,0
s01s02/06/001,1,32,0,5
s07s03/08/001,1,27,12,7
s02s03/02/001,1,23,3,1
s05s02/04/002,1,31,11,3
s06s03/07/002,1,23,8,6
s01s02/04/001,1,28,0,3
s03s05/04/002,1,28,7,3
s05s03/04/001,1,32,7,3
s05s02/06/001,1,36,11,5
s02s06/08/001,1,17,4,7
s03s06/07/001,1,22,8,6
s02s03/04/002,1,24,3,3
s03s02/08/002,1,19,3,7
s04s06/07/001,1,36,10,6
s03s06/01/001,1,23,8,0
s01s03/01/001,1,20,1,0
s05s03/02/002,1,16,7,1
s06s04/01/002,1,25,10,0
s04s03/02/002,1,18,6,1
s06s02/06/001,1,24,4,5
s02s07/08/001,1,23,5,7
s03s04/06/001,1,41,6,5
s06s03/04/002,1,25,8,3
s03s05/08/001,1,20,7,7
s02s01/02/002,1,16,0,1
s02s06/02/002,1,18,4,1
s01s07/04/001,1,31,2,3
s07s01/04/001,1,36,2,3
s04s02/03/001,1,22,9,2
s02s07/01/001,1,24,5,0
s01s07/07/002,1,28,2,6
s07s01/08/001,1,32,2,7
s03s04/03/001,1,24,6,2
s01s02/05/001,1,29,0,4
s05s03/06/001,1,24,7,5
s07s01/02/002,1,15,2,1
s03s04/04/002,1,26,6,3
